"Table 1.1a: Annual Mean Concentrations of PM10 in the UK at roadside monitoring sites, 1997 to 2018",,,
,,,
Year,Site,Annual Mean PM10 concentration (µg/m3),95% confidence interval for 'All sites' (+/-)
1999,London A3 Roadside,29,
2000,London A3 Roadside,26,
2001,London A3 Roadside,27,
2002,London A3 Roadside,24,
2003,London A3 Roadside,33,
2004,London A3 Roadside,27,
2005,London A3 Roadside,31,
2006,London A3 Roadside,34,
1998,London Marylebone Road,42,
1999,London Marylebone Road,46,
2000,London Marylebone Road,48,
2001,London Marylebone Road,44,
2002,London Marylebone Road,45,
2003,London Marylebone Road,48,
2004,London Marylebone Road,43,
2005,London Marylebone Road,43,
2006,London Marylebone Road,47,
2007,London Marylebone Road,45,
2008,London Marylebone Road,39,
2009,London Marylebone Road,34,
2010,London Marylebone Road,32,
2011,London Marylebone Road,38,
2012,London Marylebone Road,31,
2013,London Marylebone Road,29,
2014,London Marylebone Road,26,
2015,London Marylebone Road,24,
2016,London Marylebone Road,26,
2017,London Marylebone Road,24,
2018,London Marylebone Road,24,
2018,Newcastle Cradlewell Roadside,15,
2016,Nottingham Western Boulevard,20,
2017,Nottingham Western Boulevard,18,
2018,Nottingham Western Boulevard,18,
2018,Portsmouth Anglesea Road,19,
2017,Reading London Road,17,
2018,Reading London Road,17,
2014,Saltash Callington Road,16,
2015,Saltash Callington Road,16,
2016,Saltash Callington Road,15,
2018,Saltash Callington Road,17,
2009,Saltash Roadside,18,
2009,Sandy Roadside,20,
2010,Sandy Roadside,21,
2012,Sandy Roadside,19,
2016,Sandy Roadside,19,
2017,Southampton A33,19,
2011,Southwark A2 Old Kent Road,27,
2012,Southwark A2 Old Kent Road,25,
2013,Southwark A2 Old Kent Road,27,
2016,Southwark A2 Old Kent Road,24,
2017,Southwark A2 Old Kent Road,22,
2018,Southwark A2 Old Kent Road,22,
2017,St Helens Linkway,16,
2018,St Helens Linkway,18,
2008,Stanford-le-Hope Roadside,21,
2009,Stanford-le-Hope Roadside,21,
2010,Stanford-le-Hope Roadside,21,
2011,Stanford-le-Hope Roadside,23,
2012,Stanford-le-Hope Roadside,23,
2013,Stanford-le-Hope Roadside,24,
2014,Stanford-le-Hope Roadside,19,
2016,Stanford-le-Hope Roadside,20,
2017,Stanford-le-Hope Roadside,19,
2018,Stanford-le-Hope Roadside,18,
2009,Stockton-on-Tees Eaglescliffe,16,
2010,Stockton-on-Tees Eaglescliffe,14,
2011,Stockton-on-Tees Eaglescliffe,17,
2012,Stockton-on-Tees Eaglescliffe,16,
2013,Stockton-on-Tees Eaglescliffe,17,
2014,Stockton-on-Tees Eaglescliffe,17,
2015,Stockton-on-Tees Eaglescliffe,16,
2017,Stockton-on-Tees Eaglescliffe,14,
2018,Stockton-on-Tees Eaglescliffe,16,
2002,Stockton-on-Tees Yarm,29,
2003,Stockton-on-Tees Yarm,32,
2004,Stockton-on-Tees Yarm,27,
2005,Stockton-on-Tees Yarm,26,
2006,Stockton-on-Tees Yarm,28,
2007,Stockton-on-Tees Yarm,26,
2016,Stoke-on-Trent A50 Roadside,20,
2017,Stoke-on-Trent A50 Roadside,18,
2018,Stoke-on-Trent A50 Roadside,19,
2010,Storrington Roadside,20,
2011,Storrington Roadside,22,
2012,Storrington Roadside,21,
2015,Storrington Roadside,16,
2016,Storrington Roadside,19,
1997,Sutton Roadside,31,
1998,Sutton Roadside,27,
1999,Sutton Roadside,26,
2000,Sutton Roadside,25,
2001,Sutton Roadside,26,
2007,Swansea Roadside,18,
2008,Swansea Roadside,17,
2009,Swansea Roadside,17,
2010,Swansea Roadside,16,
2012,Swansea Roadside,18,
2013,Swansea Roadside,19,
2014,Swansea Roadside,20,
2015,Swansea Roadside,20,
2016,Swansea Roadside,19,
2017,Swansea Roadside,19,
2018,Swansea Roadside,20,
2002,Wrexham,25,
2003,Wrexham,24,
2004,Wrexham,19,
2005,Wrexham,20,
2006,Wrexham,20,
2007,Wrexham,19,
2008,Wrexham,17,
2009,Wrexham,15,
2010,Wrexham,14,
2011,Wrexham,18,
2012,Wrexham,15,
2013,Wrexham,17,
2014,Wrexham,14,
2015,Wrexham,13,
2016,Wrexham,12,
2017,Wrexham,12,
2008,York Fishergate,22,
2009,York Fishergate,19,
2010,York Fishergate,21,
2012,York Fishergate,18,
2013,York Fishergate,19,
2014,York Fishergate,18,
2015,York Fishergate,18,
2016,York Fishergate,16,
2017,York Fishergate,16,
2018,York Fishergate,18,
,,,
1. Annual means from individual monitoring sites are included if at least 75% data capture is achieved for the year concerned.,,,
2. The annual mean for 'All Sites' in a given year is the mean average of all sites included in the table for that year.,,,
3. The bounds of the 95% confidence interval can be obtained by adding/subtracting the values in column D from those in column C. This obtains the upper/lower bound respectively.,,,
