"Table 1.2a: Annual hours when PM10 pollution was moderate or higher, for roadside sites, 1997 to 2018",,,,,,,,,
,,,,,,,,,
Year,Site,4 Moderate,5 Moderate,6 Moderate,7 High,8 High,9 High,10 Very High,Total Hours
2015,Chepstow A48,56,42,18,0,0,0,0,116
2016,Chepstow A48,20,0,0,0,0,0,0,20
2017,Chepstow A48,40,11,0,0,0,0,0,51
2018,Chepstow A48,0,0,0,0,0,0,0,0
2008,Chesterfield Roadside,73,25,0,0,0,0,0,98
2012,Chesterfield Roadside,124,103,32,23,0,0,0,282
2013,Chesterfield Roadside,31,15,33,8,0,0,0,87
2014,Chesterfield Roadside,135,28,28,35,15,18,0,259
2015,Chesterfield Roadside,75,34,8,0,0,0,0,117
2016,Chesterfield Roadside,44,25,12,2,0,0,0,83
2017,Chesterfield Roadside,27,15,38,0,0,0,0,80
2018,Chesterfield Roadside,42,15,9,10,0,0,0,76
2018,Coventry Binley Road,32,24,3,0,0,0,0,59
2016,Ealing Horn Lane,190,124,90,44,48,13,0,509
2017,Ealing Horn Lane,214,74,56,18,3,2,18,385
2018,Ealing Horn Lane,112,34,9,0,0,0,0,155
2015,Glasgow High Street,23,12,0,0,0,0,0,35
2016,Glasgow High Street,0,0,0,0,0,0,0,0
2017,Glasgow High Street,19,0,0,0,0,0,0,19
2018,Glasgow High Street,0,0,0,0,0,0,0,0
1998,Glasgow Kerbside,419,375,298,214,118,46,169,"1,639"
1999,Glasgow Kerbside,357,289,203,33,14,14,24,934
2000,Glasgow Kerbside,324,80,17,14,0,0,0,435
2001,Glasgow Kerbside,293,211,120,21,16,38,149,848
2002,Glasgow Kerbside,320,190,67,19,32,17,65,710
2003,Glasgow Kerbside,438,228,195,128,71,50,83,"1,193"
2004,Glasgow Kerbside,353,258,100,2,0,0,0,713
2005,Glasgow Kerbside,366,127,59,81,44,1,0,678
2006,Glasgow Kerbside,592,485,291,103,46,45,31,"1,593"
2007,Glasgow Kerbside,402,208,124,28,49,43,18,872
2008,Glasgow Kerbside,202,109,49,26,29,23,1,439
2009,Glasgow Kerbside,103,47,46,35,0,0,0,231
2010,Glasgow Kerbside,255,164,119,51,38,23,13,663
2013,Glasgow Kerbside,114,45,0,0,0,0,0,159
2017,Greenock A8 Roadside,6,0,0,0,0,0,0,6
2018,Greenock A8 Roadside,1,0,0,0,0,0,0,1
1997,Haringey Roadside,407,203,161,111,75,89,40,"1,086"
1998,Haringey Roadside,294,166,63,11,0,0,0,534
1999,Haringey Roadside,243,123,23,12,9,0,0,410
2000,Haringey Roadside,130,85,52,17,0,0,0,284
2001,Haringey Roadside,182,76,52,16,3,4,15,348
2002,Haringey Roadside,204,117,18,3,5,12,0,359
2003,Haringey Roadside,379,301,111,14,0,0,0,805
2004,Haringey Roadside,75,35,4,0,0,0,0,114
2005,Haringey Roadside,109,54,1,0,0,0,0,164
2006,Haringey Roadside,196,66,20,38,1,0,0,321
2009,Haringey Roadside,84,27,11,0,0,0,0,122
2010,Haringey Roadside,109,71,25,16,0,0,0,221
2012,Haringey Roadside,192,36,41,18,3,0,0,290
2015,Hull Holderness Road,65,46,2,0,0,0,0,113
2016,Hull Holderness Road,43,13,19,0,0,0,0,75
2017,Hull Holderness Road,66,19,1,1,1,1,9,98
2018,Hull Holderness Road,65,25,20,14,0,0,0,124
2015,Leamington Spa Rugby Road,92,22,0,0,0,0,0,114
2016,Leamington Spa Rugby Road,35,0,0,0,0,0,0,35
2017,Leamington Spa Rugby Road,64,25,0,0,0,0,0,89
2008,Leeds Headingley Kerbside,52,10,13,36,16,6,0,133
2009,Leeds Headingley Kerbside,162,66,87,14,5,2,0,336
2011,Leeds Headingley Kerbside,260,160,115,24,5,16,6,586
2012,Leeds Headingley Kerbside,138,88,99,55,24,8,15,427
2013,Leeds Headingley Kerbside,88,29,0,0,0,0,0,117
2014,Leeds Headingley Kerbside,119,77,34,46,31,6,19,332
2015,Leeds Headingley Kerbside,137,118,40,0,0,0,0,295
